2023-12-04 09:44:19 status unpacked libmd0:arm64 1.1.0-1
2023-12-04 09:44:19 install libmount1:arm64 <none> 2.39.2-6
2023-12-04 09:44:19 status half-installed libmount1:arm64 2.39.2-6
2023-12-04 09:44:19 status unpacked libmount1:arm64 2.39.2-6
2023-12-04 09:44:19 install libnettle8:arm64 <none> 3.9.1-2
2023-12-04 09:44:19 status half-installed libnettle8:arm64 3.9.1-2
2023-12-04 09:44:19 status unpacked libnettle8:arm64 3.9.1-2
2023-12-04 09:44:19 install libnumber-compare-perl:all <none> 0.03-3
2023-12-04 09:44:19 status half-installed libnumber-compare-perl:all 0.03-3
2023-12-04 09:44:20 status unpacked libnumber-compare-perl:all 0.03-3
2023-12-04 09:44:20 install libp11-kit0:arm64 <none> 0.25.0-5
2023-12-04 09:44:20 status half-installed libp11-kit0:arm64 0.25.0-5
2023-12-04 09:44:20 status unpacked libp11-kit0:arm64 0.25.0-5
2023-12-04 09:44:20 install libpam-modules:arm64 <none> 1.5.2-9.1
2023-12-04 09:44:20 status half-installed libpam-modules:arm64 1.5.2-9.1
2023-12-04 09:44:24 status unpacked libpam-modules:arm64 1.5.2-9.1
2023-12-04 09:44:24 install libpam-modules-bin:arm64 <none> 1.5.2-9.1
2023-12-04 09:44:24 status half-installed libpam-modules-bin:arm64 1.5.2-9.1
2023-12-04 09:44:24 status unpacked libpam-modules-bin:arm64 1.5.2-9.1
2023-12-04 09:44:24 install libpam-runtime:all <none> 1.5.2-9.1
2023-12-04 09:44:24 status half-installed libpam-runtime:all 1.5.2-9.1
2023-12-04 09:44:24 status unpacked libpam-runtime:all 1.5.2-9.1
2023-12-04 09:44:24 install libpam0g:arm64 <none> 1.5.2-9.1
2023-12-04 09:44:24 status half-installed libpam0g:arm64 1.5.2-9.1
2023-12-04 09:44:25 status unpacked libpam0g:arm64 1.5.2-9.1
2023-12-04 09:44:25 install libpcre2-8-0:arm64 <none> 10.42-4
2023-12-04 09:44:25 status half-installed libpcre2-8-0:arm64 10.42-4
2023-12-04 09:44:25 status unpacked libpcre2-8-0:arm64 10.42-4
2023-12-04 09:44:25 install libperl5.36:arm64 <none> 5.36.0-9
2023-12-04 09:44:25 status half-installed libperl5.36:arm64 5.36.0-9
2023-12-04 09:44:27 status unpacked libperl5.36:arm64 5.36.0-9
2023-12-04 09:44:27 install libseccomp2:arm64 <none> 2.5.4-2+b1
2023-12-04 09:44:27 status half-installed libseccomp2:arm64 2.5.4-2+b1
2023-12-04 09:44:27 status unpacked libseccomp2:arm64 2.5.4-2+b1
2023-12-04 09:44:28 install libselinux1:arm64 <none> 3.5-1+b1
2023-12-04 09:44:28 status half-installed libselinux1:arm64 3.5-1+b1
2023-12-04 09:44:28 status unpacked libselinux1:arm64 3.5-1+b1
2023-12-04 09:44:28 install libsemanage-common:all <none> 3.5-1
2023-12-04 09:44:28 status half-installed libsemanage-common:all 3.5-1
2023-12-04 09:44:28 status unpacked libsemanage-common:all 3.5-1
2023-12-04 09:44:28 install libsemanage2:arm64 <none> 3.5-1
2023-12-04 09:44:28 status half-installed libsemanage2:arm64 3.5-1
2023-12-04 09:44:28 status unpacked libsemanage2:arm64 3.5-1
2023-12-04 09:44:28 install libsepol2:arm64 <none> 3.5-2
2023-12-04 09:44:28 status half-installed libsepol2:arm64 3.5-2
2023-12-04 09:44:29 status unpacked libsepol2:arm64 3.5-2
2023-12-04 09:44:29 install libsmartcols1:arm64 <none> 2.39.2-6
2023-12-04 09:44:29 status half-installed libsmartcols1:arm64 2.39.2-6
2023-12-04 09:44:29 status unpacked libsmartcols1:arm64 2.39.2-6
2023-12-04 09:44:29 install libss2:arm64 <none> 1.47.0-2+b1
2023-12-04 09:44:29 status half-installed libss2:arm64 1.47.0-2+b1
2023-12-04 09:44:29 status unpacked libss2:arm64 1.47.0-2+b1
2023-12-04 09:44:29 install libstdc++6:arm64 <none> 13.2.0-5
2023-12-04 09:44:29 status half-installed libstdc++6:arm64 13.2.0-5
2023-12-04 09:44:30 status unpacked libstdc++6:arm64 13.2.0-5
2023-12-04 09:44:30 install libsystemd0:arm64 <none> 254.5-1
2023-12-04 09:44:30 status half-installed libsystemd0:arm64 254.5-1
2023-12-04 09:44:30 status unpacked libsystemd0:arm64 254.5-1
2023-12-04 09:44:30 install libtasn1-6:arm64 <none> 4.19.0-3
2023-12-04 09:44:30 status half-installed libtasn1-6:arm64 4.19.0-3
2023-12-04 09:44:30 status unpacked libtasn1-6:arm64 4.19.0-3
2023-12-04 09:44:31 install libtext-glob-perl:all <none> 0.11-3
2023-12-04 09:44:31 status half-installed libtext-glob-perl:all 0.11-3
2023-12-04 09:44:31 status unpacked libtext-glob-perl:all 0.11-3
2023-12-04 09:44:31 install libtinfo6:arm64 <none> 6.4+20231121-1
2023-12-04 09:44:31 status half-installed libtinfo6:arm64 6.4+20231121-1
2023-12-04 09:44:31 status unpacked libtinfo6:arm64 6.4+20231121-1
2023-12-04 09:44:31 install libudev1:arm64 <none> 254.5-1
2023-12-04 09:44:31 status half-installed libudev1:arm64 254.5-1
2023-12-04 09:44:31 status unpacked libudev1:arm64 254.5-1
2023-12-04 09:44:31 install libunistring5:arm64 <none> 1.1-2
2023-12-04 09:44:31 status half-installed libunistring5:arm64 1.1-2
2023-12-04 09:44:32 status unpacked libunistring5:arm64 1.1-2
2023-12-04 09:44:32 install libuuid1:arm64 <none> 2.39.2-6
2023-12-04 09:44:32 status half-installed libuuid1:arm64 2.39.2-6
2023-12-04 09:44:32 status unpacked libuuid1:arm64 2.39.2-6
2023-12-04 09:44:32 install libxxhash0:arm64 <none> 0.8.2-2
2023-12-04 09:44:32 status half-installed libxxhash0:arm64 0.8.2-2
2023-12-04 09:44:32 status unpacked libxxhash0:arm64 0.8.2-2
2023-12-04 09:44:32 install libzstd1:arm64 <none> 1.5.5+dfsg2-2
2023-12-04 09:44:32 status half-installed libzstd1:arm64 1.5.5+dfsg2-2
2023-12-04 09:44:33 status unpacked libzstd1:arm64 1.5.5+dfsg2-2
2023-12-04 09:44:33 install login:arm64 <none> 1:4.13+dfsg1-3
2023-12-04 09:44:33 status half-installed login:arm64 1:4.13+dfsg1-3
2023-12-04 09:44:33 status unpacked login:arm64 1:4.13+dfsg1-3
2023-12-04 09:44:33 install logsave:arm64 <none> 1.47.0-2+b1
2023-12-04 09:44:33 status half-installed logsave:arm64 1.47.0-2+b1
2023-12-04 09:44:34 status unpacked logsave:arm64 1.47.0-2+b1
2023-12-04 09:44:34 upgrade mawk:arm64 1.3.4.20231102-1 1.3.4.20231102-1
2023-12-04 09:44:34 status half-configured mawk:arm64 1.3.4.20231102-1
2023-12-04 09:44:34 status unpacked mawk:arm64 1.3.4.20231102-1
2023-12-04 09:44:34 status half-installed mawk:arm64 1.3.4.20231102-1
2023-12-04 09:44:34 status unpacked mawk:arm64 1.3.4.20231102-1
2023-12-04 09:44:34 install mount:arm64 <none> 2.39.2-6
2023-12-04 09:44:34 status half-installed mount:arm64 2.39.2-6
2023-12-04 09:44:34 status unpacked mount:arm64 2.39.2-6
2023-12-04 09:44:34 install ncurses-base:all <none> 6.4+20231121-1
2023-12-04 09:44:34 status half-installed ncurses-base:all 6.4+20231121-1
2023-12-04 09:44:34 status unpacked ncurses-base:all 6.4+20231121-1
2023-12-04 09:44:35 install ncurses-bin:arm64 <none> 6.4+20231121-1
2023-12-04 09:44:35 status half-installed ncurses-bin:arm64 6.4+20231121-1
2023-12-04 09:44:35 status unpacked ncurses-bin:arm64 6.4+20231121-1
2023-12-04 09:44:35 install passwd:arm64 <none> 1:4.13+dfsg1-3
2023-12-04 09:44:35 status half-installed passwd:arm64 1:4.13+dfsg1-3
2023-12-04 09:44:36 status unpacked passwd:arm64 1:4.13+dfsg1-3
2023-12-04 09:44:36 install perl:arm64 <none> 5.36.0-9
2023-12-04 09:44:36 status half-installed perl:arm64 5.36.0-9
2023-12-04 09:44:36 status unpacked perl:arm64 5.36.0-9
2023-12-04 09:44:36 upgrade perl-base:arm64 5.36.0-9 5.36.0-9
2023-12-04 09:44:36 status half-configured perl-base:arm64 5.36.0-9
2023-12-04 09:44:36 status unpacked perl-base:arm64 5.36.0-9
2023-12-04 09:44:36 status half-installed perl-base:arm64 5.36.0-9
2023-12-04 09:44:38 status unpacked perl-base:arm64 5.36.0-9
2023-12-04 09:44:38 install perl-modules-5.36:all <none> 5.36.0-9
2023-12-04 09:44:38 status half-installed perl-modules-5.36:all 5.36.0-9
2023-12-04 09:44:40 status unpacked perl-modules-5.36:all 5.36.0-9
2023-12-04 09:44:40 install sed:arm64 <none> 4.9-1
2023-12-04 09:44:40 status half-installed sed:arm64 4.9-1
2023-12-04 09:44:40 status unpacked sed:arm64 4.9-1
2023-12-04 09:44:40 install sysvinit-utils:arm64 <none> 3.08-3
2023-12-04 09:44:40 status half-installed sysvinit-utils:arm64 3.08-3
2023-12-04 09:44:40 status unpacked sysvinit-utils:arm64 3.08-3
2023-12-04 09:44:41 install tar:arm64 <none> 1.34+dfsg-1.2
2023-12-04 09:44:41 status half-installed tar:arm64 1.34+dfsg-1.2
2023-12-04 09:44:41 status unpacked tar:arm64 1.34+dfsg-1.2
2023-12-04 09:44:41 install tzdata:all <none> 2023c-11
2023-12-04 09:44:41 status half-installed tzdata:all 2023c-11
2023-12-04 09:44:42 status unpacked tzdata:all 2023c-11
2023-12-04 09:44:42 install usr-is-merged:all <none> 38
2023-12-04 09:44:42 status half-installed usr-is-merged:all 38
2023-12-04 09:44:42 status unpacked usr-is-merged:all 38
2023-12-04 09:44:42 install usrmerge:all <none> 38
2023-12-04 09:44:42 status half-installed usrmerge:all 38
2023-12-04 09:44:42 status unpacked usrmerge:all 38
2023-12-04 09:44:43 install util-linux:arm64 <none> 2.39.2-6
2023-12-04 09:44:43 status half-installed util-linux:arm64 2.39.2-6
2023-12-04 09:44:43 status unpacked util-linux:arm64 2.39.2-6
